Game.1,Publisher,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Release_year,Mycol,Release,Month_Since_Released
Scribblenauts: Showdown,Warner Bros. Interactive,,,,,06th Mar 18,18,2018-03-06,2018-03-06,1001.0
Nights of Azure 2: Bride of the New Moon,Tecmo Koei,,,,,24th Oct 17,17,2017-10-24,2017-10-24,1134.0
America's Greatest Game Shows: Wheel of Fortune and Jeopardy!,Ubisoft,,,,,30th Oct 18,18,2018-10-30,2018-10-30,763.0
Ittle Dew 2+ Read the review,Nicalis,,,,,14th Nov 17,17,2017-11-14,2017-11-14,1113.0
Touhou Kobuto V: Burst Battle,NIS America,,,,,10th Oct 17,17,2017-10-10,2017-10-10,1148.0
Victor Vran: Overkill Edition,Wired Productions,,,,,28th Aug 18,18,2018-08-28,2018-08-28,826.0
Stern Pinball Arcade,Alliance Digital Media,,,,,12th Dec 17,17,2017-12-12,2017-12-12,1085.0
Asterix and Obelix XXL2,Microids,,6.5,,,29th Nov 18,18,2018-11-29,2018-11-29,733.0
Disgaea 1 Complete,NIS America,,8.0,,,09th Oct 18,18,2018-10-09,2018-10-09,784.0
Azure Striker Gunvolt: Striker Pack,Nighthawk Interactive,,,,,21st Nov 17,17,2017-11-21,2017-11-21,1106.0
Spintires: MudRunner - American Wilds,Maximum Games,,,,,23rd Oct 18,18,2018-10-23,2018-10-23,770.0
Portal Knights,505 Games,,,,,13th Feb 18,18,2018-02-13,2018-02-13,1022.0
One Piece: Pirate Warriors 3 - Deluxe Edition,Bandai Namco Entertainment,,8.5,,,11th May 18,18,2018-05-11,2018-05-11,935.0
Party Arcade,Planet Entertainment,,,,,09th Nov 18,18,2018-11-09,2018-11-09,753.0
The End is Nigh Read the review,Nicalis,,,,,12th Dec 17,17,2017-12-12,2017-12-12,1085.0
Tiny Barbarian DX,Nicalis,,,,,10th Oct 17,17,2017-10-10,2017-10-10,1148.0
Owlboy Read the review,Soedesco,7.0,9.0,,,29th May 18,18,2018-05-29,2018-05-29,917.0
Little Nightmares,Bandai Namco Entertainment,,,,,18th May 18,18,2018-05-18,2018-05-18,928.0
Scribblenauts Mega Pack,Warner Bros. Interactive Entertainment,,,,,18th Sep 18,18,2018-09-18,2018-09-18,805.0
My Riding Stables: Life with Horses,TREVA Entertainment,,,,,13th Nov 18,18,2018-11-13,2018-11-13,749.0
Toki Collector's Edition,Microids,,,,,22nd Nov 18,18,2018-11-22,2018-11-22,740.0
I am Setsuna,Square Enix,,7.0,,,03rd Mar 17,17,2017-03-03,2017-03-03,1369.0
Battle Chasers: Nightwar,THQ Nordic,,8.5,,,15th May 18,18,2018-05-15,2018-05-15,931.0
Wonder Boy: The Dragon's Trap (Remake),DotEmu,,7.4,7.5,,18th Apr 17,17,2017-04-18,2017-04-18,1323.0
Yomawari: The Long Night Collection Read the review,NIS America,6.0,,,,30th Oct 18,18,2018-10-30,2018-10-30,763.0
The Escapists 2,Sold Out,,,,,30th Oct 18,18,2018-10-30,2018-10-30,763.0
SNK Heroines Tag Team Frenzy Read the review,NIS America,6.0,,,,07th Sep 18,18,2018-09-07,2018-09-07,816.0
Lost Sphear,Square Enix,,6.5,,,23rd Jan 18,18,2018-01-23,2018-01-23,1043.0
Cat Quest,PQube,,,,,09th Oct 18,18,2018-10-09,2018-10-09,784.0
Minna de Wai Wai! Spelunker,Square Enix,,,,,20th Apr 17,17,2017-04-20,2017-04-20,1321.0
Dragon Quest X: All in One Package,Square Enix,,,,,21st Sep 17,17,2017-09-21,2017-09-21,1167.0
Sine Mora EX,THQ Nordic,,8.0,,,26th Sep 17,17,2017-09-26,2017-09-26,1162.0
Atari Flashback Classics: Volume 1,Atari,,,,,13th Dec 18,18,2018-12-13,2018-12-13,719.0
Okami HD,Capcom,,,10.0,,09th Aug 18,18,2018-08-09,2018-08-09,845.0
SD Gundam G Generation Genesis,Bandai Namco Games,,,,,26th Apr 18,18,2018-04-26,2018-04-26,950.0
Monster Boy and the Cursed Kingdom Read the review,FDG Entertainment,8.0,8.0,9.5,,06th Nov 18,18,2018-11-06,2018-11-06,756.0
Blade Strangers Read the review,Nicalis,7.0,8.3,,,28th Aug 18,18,2018-08-28,2018-08-28,826.0
Snow Moto Racing Freedom,Big Ben Interactive,,,,,27th Mar 18,18,2018-03-27,2018-03-27,980.0
Monster Energy Supercross - The Official Videogame,Milestone S.r.l.,,,,,13th Feb 18,18,2018-02-13,2018-02-13,1022.0
Let's Sing 2019,Ravenscourt,,,,,26th Oct 18,18,2018-10-26,2018-10-26,767.0
Layton's Mystery Journey: Katrielle and The Millionaires' Conspiracy DX,Level 5,,,,,08th Nov 19,19,2019-11-08,2019-11-08,389.0
