Game.1,Publisher,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Release_year,Mycol,Release,Month_Since_Released
Final Fantasy X / X-2 HD Remaster,Square Enix,,,,,16th Apr 19,19,2019-04-16,2019-04-16,595.0
Final Fantasy XII: The Zodiac Age,Square Enix,,,,,30th Apr 19,19,2019-04-30,2019-04-30,581.0
Final Fantasy XV Pocket Edition HD,Square Enix,,,,,13th Sep 18,18,2018-09-13,2018-09-13,810.0
FiNC HOME FiT,Pocket,,,,,29th Oct 20,20,2020-10-29,2020-10-29,33.0
Firewatch,Campo Santo,,,,,17th Dec 18,18,2018-12-17,2018-12-17,715.0
Fitness Boxing 2: Rythm & Exercise,Nintendo,,,,,04th Dec 20,20,2020-12-04,2020-12-04,-3.0
Five Nights at Freddy's,Unknown,,,,,,,,,
Five Nights at Freddy's 2,Unknown,,,,,,,,,
Five Nights at Freddy's 3,Unknown,,,,,,,,,
Five Nights at Freddy's 4,Unknown,,,,,,,,,
Flat Heroes Read the review,Unknown,7.0,,,,,,,,
Flinthook,Tribute Games,,,,,09th Mar 18,18,2018-03-09,2018-03-09,998.0
Flip Wars,Nintendo,,,,,10th Aug 17,17,2017-08-10,2017-08-10,1209.0
Flipper Mechanic,SimFabric,,,,,01st Dec 21,21,2021-12-01,2021-12-01,-365.0
Floor Kids,MERJ Media,,,9.0,,01st Jan 18,18,2018-01-01,2018-01-01,1065.0
Football Manager 2020,Unknown,,,,,,,,,
forma.8,Mixedbag Srl,,,,,24th Aug 17,17,2017-08-24,2017-08-24,1195.0
Four Legerrior,Kemco,,,,,06th Jun 19,19,2019-06-06,2019-06-06,544.0
Frane: Dragons' Odyssey,Kemco,,,,,09th May 19,19,2019-05-09,2019-05-09,572.0
Frederic 2: Evil Strikes Back,Forever Entertainment S.A.,,,,,01st Feb 18,18,2018-02-01,2018-02-01,1034.0
Frederic: The Resurrection of Music,Forever Entertainment S.A.,,,,,21st Dec 17,17,2017-12-21,2017-12-21,1076.0
Freedom Planet,Galaxy Trail,,,9.0,,30th Aug 18,18,2018-08-30,2018-08-30,824.0
Friday the 13th: The Game,Gun Media,,,9.2,,13th Aug 19,19,2019-08-13,2019-08-13,476.0
Frost,Unknown,,,,,,,,,
FruitFall Crush,System 3,,,,,21st Dec 17,17,2017-12-21,2017-12-21,1076.0
Fuga,Unknown,,,,,,,,,
Furi,The Game Bakers,,,,,11th Jan 18,18,2018-01-11,2018-01-11,1055.0
Fury Unleashed Read the review,Unknown,7.0,,,,,,,,
Fuser,NCSoft,,,,,10th Nov 20,20,2020-11-10,2020-11-10,21.0
G.I. Joe: Operation Blackout,GameMill Entertainment,,,,,13th Oct 20,20,2020-10-13,2020-10-13,49.0
Game Dev Story,Kairosoft Co. Ltd,,,,,11th Oct 18,18,2018-10-11,2018-10-11,782.0
Game Dev Tycoon,Greenheart Games,,,,,11th Oct 20,20,2020-10-11,2020-10-11,51.0
Garage Read the review,TinyBuild Games,3.0,,,,01st May 18,18,2018-05-01,2018-05-01,945.0
Garfield Kart: Furious Racing,Microids,,,,,05th Nov 19,19,2019-11-05,2019-11-05,392.0
Gato Roboto Read the review,Devolver Digital,7.0,,,,30th May 19,19,2019-05-30,2019-05-30,551.0
Gear.Club Unlimited 2,Microids,,,,,04th Dec 18,18,2018-12-04,2018-12-04,728.0
Gekido Kintaro's Revenge,Naps Team,,,,,22nd Mar 18,18,2018-03-22,2018-03-22,985.0
Gelly Break,Unknown,,,,,,,,,
Gem Smashers,TREVA Entertainment,,,,,15th Mar 18,18,2018-03-15,2018-03-15,992.0
Genshin Impact,miHoYo,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
Genso Skydrift,illuCalab,,,,,12th Dec 19,19,2019-12-12,2019-12-12,355.0
Georifters,Another Indie,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
Ghost Parade,Unknown,,,,,,,,,
Ghostbusters: The Video Game Remastered,Saber Interactive,,,,,04th Oct 19,19,2019-10-04,2019-10-04,424.0
Ginger: Beyond the Crystal,Badland Games,,,,,17th Nov 17,17,2017-11-17,2017-11-17,1110.0
Giraffe and Annika,Unknown,,,,,,,,,
Girls und Panzer: Dream Team Match DX,Bandai Namco Games,,,,,21st Feb 19,19,2019-02-21,2019-02-21,649.0
God Eater 3,Bandai Namco Entertainment,,,,,12th Jul 19,19,2019-07-12,2019-07-12,508.0
GOKEN,Gianty,,,,,28th Mar 19,19,2019-03-28,2019-03-28,614.0
Golf Story,Sidebar Games,,8.0,,,28th Sep 17,17,2017-09-28,2017-09-28,1160.0
Golf With Your Friends,Team 17,,,,,19th May 20,20,2020-05-19,2020-05-19,196.0
GoNNER,Raw Fury,,,,,29th Jun 17,17,2017-06-29,2017-06-29,1251.0
Good Job!,Nintendo,,,,,26th Mar 20,20,2020-03-26,2020-03-26,250.0
Gorogoa,Annapurna Interactive,,8.5,,,14th Dec 17,17,2017-12-14,2017-12-14,1083.0
Gotcha Racing 2nd,Arc System Works,,,,,29th May 18,18,2018-05-29,2018-05-29,917.0
Graceful Explosion Machine,Vertex Pop,,,,,06th Apr 17,17,2017-04-06,2017-04-06,1335.0
Grand Brix Shooter,"Intragames Co.,Ltd.",,,,,29th Aug 19,19,2019-08-29,2019-08-29,460.0
Grand Prix Rock 'N Racing,EnjoyUp Games,,,,,04th Jan 18,18,2018-01-04,2018-01-04,1062.0
Grandia HD Collection,GungHo Online Entertainment,,,,,16th Aug 19,19,2019-08-16,2019-08-16,473.0
Green Game: TimeSwapper,iFun4all,,,,,17th Nov 17,17,2017-11-17,2017-11-17,1110.0
Grid Mania,QubicGames,,,,,02nd Mar 18,18,2018-03-02,2018-03-02,1005.0
GRID: Autosport,Codemasters,,,,,31st Aug 19,19,2019-08-31,2019-08-31,458.0
Grim Fandango Remastered,Double Fine Productions,,,,,01st Nov 18,18,2018-11-01,2018-11-01,761.0
GRIS,Devolver Digital,,,,,13th Dec 18,18,2018-12-13,2018-12-13,719.0
Guilt Battle Arena,ForwardXP,,,,,01st Mar 18,18,2018-03-01,2018-03-01,1006.0
Guilty Gear 20th Anniversary Pack,Arc System Works,,,,,16th May 19,19,2019-05-16,2019-05-16,565.0
Guilty Gear XX Accent Core Plus R,Arc System Works,,,,,16th May 19,19,2019-05-16,2019-05-16,565.0
Gun Gun Pixies,PQube,,,,,06th Sep 19,19,2019-09-06,2019-09-06,452.0
GUNBARICH,Zerodiv,,,,,03rd Aug 17,17,2017-08-03,2017-08-03,1216.0
GUNBIRD,Zerodiv,,,,,07th Dec 17,17,2017-12-07,2017-12-07,1090.0
Gunhouse,Other Ocean Interactive,,,,,15th Jan 18,18,2018-01-15,2018-01-15,1051.0
Gunlord X,Unknown,,,,,,,,,
Gunman Clive HD Collection,Horberg Productions,,,,,17th Jan 19,19,2019-01-17,2019-01-17,684.0
"Guns, Gore & Cannoli",Crazy Monkey,,,,,21st Dec 17,17,2017-12-21,2017-12-21,1076.0
Gunvolt Chronicles: Luminous Avenger iX Read the review,Unknown,7.0,,,,,,,,
Hades,Supergiant Games,,,,,17th Sep 20,20,2020-09-17,2020-09-17,75.0
Hakoniwa Explorer Plus,Unknown,,,,,,,,,
Hakuoki Shinkai: Ginsei no Sho,Idea Factory,,,,,30th Jul 20,20,2020-07-30,2020-07-30,124.0
Hammerwatch,BlitWorks,,,,,14th Dec 17,17,2017-12-14,2017-12-14,1083.0
"Hanayaka Kana, Ware ga Ichizoku: Gentou Nostalgie",Idea Factory,,,,,16th May 19,19,2019-05-16,2019-05-16,565.0
"Hanayaka Nari, Waga Ichizoku Modern Nostalgie",Idea Factory,,,,,16th May 19,19,2019-05-16,2019-05-16,565.0
Harukanaru Toki no Naka de 6 DX,Koei Tecmo,,,,,14th Mar 19,19,2019-03-14,2019-03-14,628.0
Harvest Moon: Mad Dash,Natsume,,,,,01st Dec 19,19,2019-12-01,2019-12-01,366.0
Harvest Moon: One World,Unknown,,,,,,,,,
Headliner: NoviNews Read the review,Unknown,7.0,,,,,,,,
Headspun,Unknown,,,,,,,,,
Heart of the Woods,Sekai Project,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
Heart&Slash,Badland Games,,,,,22nd Dec 17,17,2017-12-22,2017-12-22,1075.0
Heave Ho Read the review,Unknown,6.0,,,,,,,,
Hellblade: Senua's Sacrifice,Ninja Theory,,,,,11th Apr 19,19,2019-04-11,2019-04-11,600.0
Hellpoint,TinyBuild Games,,,,,30th Jul 20,20,2020-07-30,2020-07-30,124.0
Her Majesty's SPIFFING,Billy Goat Entertainment,,,,,01st Feb 18,18,2018-02-01,2018-02-01,1034.0
Hero Must Die. Again,Degica,,,,,27th Feb 20,20,2020-02-27,2020-02-27,278.0
Heroes of the Monkey Tavern,Monkey Stories Games,,,,,07th Nov 17,17,2017-11-07,2017-11-07,1120.0
Heroland,Xseed Games,,,,,01st Dec 19,19,2019-12-01,2019-12-01,366.0
Hiragana Pixel Party,Springloaded,,,,,16th Dec 17,17,2017-12-16,2017-12-16,1081.0
Hob: The Definitive Edition,Perfect World,,,,,04th Apr 19,19,2019-04-04,2019-04-04,607.0
Hollow,Forever Entertainment S.A.,,,,,22nd Feb 18,18,2018-02-22,2018-02-22,1013.0
Hollow Knight: Silksong,Team Cherry,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
Holy Potatoes! A Weapon Shop?!,Unknown,,,,,,,,,
Horizon Chase Turbo,AQUIRIS,,,,,28th Nov 18,18,2018-11-28,2018-11-28,734.0
Hototogisu Tairan 1553: Ryuuko Aiutsu,Unknown,,,,,,,,,
Hulu,Hulu,,,,,09th Nov 17,17,2017-11-09,2017-11-09,1118.0
Human Resource Machine,Tomorrow Corporation,,,,,16th Mar 17,17,2017-03-16,2017-03-16,1356.0
Human: Fall Flat,Curve Digital,,,,,07th Dec 17,17,2017-12-07,2017-12-07,1090.0
Huntdown,Coffee Stain Studios,,,,,01st Jan 18,18,2018-01-01,2018-01-01,1065.0
Hyper Light Drifter - Special Edition,Abylight,,,,,06th Sep 18,18,2018-09-06,2018-09-06,817.0
HyperBrawl Tournament,Unknown,,,,,,,,,
Hypercharge: Unboxed,Digital Cybercherries,,,,,31st Jan 20,20,2020-01-31,2020-01-31,305.0
Hyperlight Ultimate Read the review,Unknown,6.0,,,,09th Jul 19,19,2019-07-09,2019-07-09,511.0
I Am Dead,Annapurna Interactive,,,,,08th Oct 20,20,2020-10-08,2020-10-08,54.0
I and Me,Ratalaika Games,,,,,13th Jul 17,17,2017-07-13,2017-07-13,1237.0
"I, Zombie",Awesome Games Studio,,,,,08th Mar 18,18,2018-03-08,2018-03-08,999.0
Ice Age: Scrat's Nutty Adventure,Bandai Namco Entertainment,,,,,18th Oct 19,19,2019-10-18,2019-10-18,410.0
Icewind Dale: Enhanced Edition,Atari,,,,,24th Sep 19,19,2019-09-24,2019-09-24,434.0
Ikaruga Read the review,Unknown,9.0,,,,,,,,
Ikenfell,Humble Bundle,,,,,08th Oct 20,20,2020-10-08,2020-10-08,54.0
Immortal Realms: Vampire Wars,Kalypso Media,,,,,28th Aug 20,20,2020-08-28,2020-08-28,95.0
Immortal Redneck,CremaGames,,,,,10th May 18,18,2018-05-10,2018-05-10,936.0
Immortals Fenyx Rising,Ubisoft,,,,,03rd Dec 20,20,2020-12-03,2020-12-03,-2.0
Implosion,Flyhigh Works,,,,,06th Jul 17,17,2017-07-06,2017-07-06,1244.0
Indivisible,505 Games,,,,,30th Dec 20,20,2020-12-30,2020-12-30,-29.0
Inferno Climber: Reborn,Arc System Works,,,,,28th Mar 19,19,2019-03-28,2019-03-28,614.0
Infinite Minigolf,Zen Studios,,,,,28th Jul 17,17,2017-07-28,2017-07-28,1222.0
Infinite: Beyond The Mind Read the review,Blowfish Studios,7.0,,,,07th May 20,20,2020-05-07,2020-05-07,208.0
Infliction,Caustic Reality,,,,,01st Dec 19,19,2019-12-01,2019-12-01,366.0
InnerSpace Read the review,"Aspyr Media, Inc.",5.0,6.5,,,16th Jan 18,18,2018-01-16,2018-01-16,1050.0
INSIDE,Playdead,,,,,28th Jun 18,18,2018-06-28,2018-06-28,887.0
Into the Breach,Subset Games,,,,,28th Aug 18,18,2018-08-28,2018-08-28,826.0
Into the Dead 2 Read the review,Versus Evil,7.0,,,,25th Oct 19,19,2019-10-25,2019-10-25,403.0
INVERSUS Deluxe,Hypersect,,,,,28th Sep 17,17,2017-09-28,2017-09-28,1160.0
Ion Fury,3D Realms,,,,,14th May 20,20,2020-05-14,2020-05-14,201.0
Iro Hero Read the review,Unknown,7.0,,,,,,,,
IRONCAST,Ripstone,,,,,10th Aug 17,17,2017-08-10,2017-08-10,1209.0
Irony Curtain: From Matryoshka,Unknown,,,,,,,,,
Island Flight Simulator,Libredia Entertainment,,,,,01st Feb 18,18,2018-02-01,2018-02-01,1034.0
Island Saver Read the review,Unknown,4.0,,,,,,,,
ITTA,Armor Games,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
Jack Jeanne,Broccoli,,,,,03rd Dec 20,20,2020-12-03,2020-12-03,-2.0
Jakou no Lyla: Trap of Musk,Idea Factory,,,,,19th Sep 19,19,2019-09-19,2019-09-19,439.0
Jamestown+ Read the review,Unknown,7.0,,,,,,,,
Jikkyou Powerful Pro Yakyuu,Konami,,,,,27th Jun 19,19,2019-06-27,2019-06-27,523.0
Joe Dever's Lone Wolf,Forge Reply,,,,,16th Feb 18,18,2018-02-16,2018-02-16,1019.0
Joggernauts Read the review,Unknown,6.0,,,,,,,,
Johnny Turbo's Arcade: Bad Dudes,FTE Games,,,,,29th Mar 18,18,2018-03-29,2018-03-29,978.0
Johnny Turbo's Arcade: Gate of Doom,FTE Games,,,,,15th Feb 18,18,2018-02-15,2018-02-15,1020.0
Johnny Turbo's Arcade: Wizard Fire,Unknown,,,3.0,,21st Jun 18,18,2018-06-21,2018-06-21,894.0
Jotun: Valhalla Edition Read the review,Unknown,7.0,,,,,,,,
Jumanji: The Video Game,Unknown,,,,,,,,,
Jump Force,Bandai Namco Entertainment,,,,,28th Aug 20,20,2020-08-28,2020-08-28,95.0
Jump Rope Challenge,Nintendo,,,,,15th Jun 20,20,2020-06-15,2020-06-15,169.0
Jurassic World Evolution: Complete Edition,Frontier Developments,,,,,03rd Nov 20,20,2020-11-03,2020-11-03,28.0
Just Dance 2020,Ubisoft,,,,,05th Nov 19,19,2019-11-05,2019-11-05,392.0
Just Dance 2021,Ubisoft,,,,,12th Nov 20,20,2020-11-12,2020-11-12,19.0
Just Shapes & Beats,Berzerk Studio,,,,,01st Jul 18,18,2018-07-01,2018-07-01,884.0
JYDGE,10tons,,,,,19th Oct 17,17,2017-10-19,2017-10-19,1139.0
Kaiji: Steel Beam Crossing of Despair,Unknown,,,,,,,,,
Karaoke JOYSOUND for Switch,Xing Entertainment,,,,,06th Dec 17,17,2017-12-06,2017-12-06,1091.0
Katakoi Contrast: Collection of Branch,Idea Factory,,,,,22nd Aug 19,19,2019-08-22,2019-08-22,467.0
Katana ZERO,Devolver Digital,,,,,18th Apr 19,19,2019-04-18,2019-04-18,593.0
Kentucky Route Zero: TV Edition,Annapurna Interactive,,,,,28th Jan 20,20,2020-01-28,2020-01-28,308.0
Kero Blaster Read the review,Unknown,7.0,,,,,,,,
Kid Tripp,Four Horses,,,,,23rd Nov 17,17,2017-11-23,2017-11-23,1104.0
Kill la Kill: IF,Arc System Works,,,,,26th Jul 19,19,2019-07-26,2019-07-26,494.0
Killer Queen Black Read the review,"Liquid Bit, LLC",7.0,,,,11th Oct 19,19,2019-10-11,2019-10-11,417.0
King Oddball,10tons,,,,,30th Oct 17,17,2017-10-30,2017-10-30,1128.0
King's Bounty II,Deep Silver,,,,,01st Apr 21,21,2021-04-01,2021-04-01,-121.0
Kingdom Hearts: Melody of Memory,Square Enix,,,,,13th Nov 20,20,2020-11-13,2020-11-13,18.0
Kingdom Two Crowns,Raw Fury,,,,,11th Dec 18,18,2018-12-11,2018-12-11,721.0
Kingdom: New Lands,Raw Fury,,,,,14th Sep 17,17,2017-09-14,2017-09-14,1174.0
Kirby Fighters 2,Nintendo,,,,,24th Sep 20,20,2020-09-24,2020-09-24,68.0
Knight Terrors,Nicalis,,,,,24th Oct 17,17,2017-10-24,2017-10-24,1134.0
Knights and Bikes,Double Fine Presents,,,,,06th Feb 20,20,2020-02-06,2020-02-06,299.0
Knights of Pen and Paper +1 Edition,Unknown,,,,,,,,,
Koi DX,CIRCLE Entertainment,,,,,09th Nov 17,17,2017-11-09,2017-11-09,1118.0
Kona,Koch Media,,,,,09th Mar 18,18,2018-03-09,2018-03-09,998.0
Konami Anniversary Collection: Arcade Classics Read the review,Unknown,6.0,,,,,,,,
Konoyo no Hate de Koi o Utau Shoujo: Yu-No,5pb,,,,,14th Mar 19,19,2019-03-14,2019-03-14,628.0
Kotodama: The 7 Mysteries of Fujisawa,PQube,,,1.0,,04th Jun 19,19,2019-06-04,2019-06-04,546.0
Kunai Read the review,The Arcade Crew,7.0,,,,06th Feb 20,20,2020-02-06,2020-02-06,299.0
KungFu Kickball,Blowfish Studios,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
La Corda d'Oro: Octave,Koei Tecmo,,,,,14th Feb 19,19,2019-02-14,2019-02-14,656.0
La-Mulana 2,Active Gaming Media,,,,,31st Dec 20,20,2020-12-31,2020-12-31,-30.0
Langrisser I & II,Kadokawa Games,,,,,18th Apr 19,19,2019-04-18,2019-04-18,593.0
Last Day of June,505 Games,,,,,16th Mar 18,18,2018-03-16,2018-03-16,991.0
Layers of Fear: Legacy,Bloober Team S.A.,,,,,21st Feb 18,18,2018-02-21,2018-02-21,1014.0
League of Evil,Ratalaika Games,,,7.0,,31st Aug 17,17,2017-08-31,2017-08-31,1188.0
Lego Jurassic World,Warner Bros. Interactive Entertainment,,,,,17th Sep 19,19,2019-09-17,2019-09-17,441.0
LEGO Star Wars: The Skywalker Saga,Warner Bros. Interactive Entertainment,,,,,20th Oct 21,21,2021-10-20,2021-10-20,-323.0
Legrand Legacy: Tale of the Fatebounds,Another Indie,,,,,24th Jan 19,19,2019-01-24,2019-01-24,677.0
Leisure Suit Larry: Wet Dreams Don't Dry,Unknown,,,,,,,,,
Letter Quest Remastered,Digerati,,,,,23rd Nov 17,17,2017-11-23,2017-11-23,1104.0
Levels+: Addictive Puzzle Game,flow,,,,,13th Jul 17,17,2017-07-13,2017-07-13,1237.0
Lichtspeer: Double Speer Edition,Crunching Koalas,,,,,07th Sep 17,17,2017-09-07,2017-09-07,1181.0
Light Fall,Bishop Games,,,,,01st May 18,18,2018-05-01,2018-05-01,945.0
Light Fingers,Numizmatic,,,,,20th Sep 18,18,2018-09-20,2018-09-20,803.0
Little Friends: Dogs & Cats,Sold Out,,,,,27th May 19,19,2019-05-27,2019-05-27,554.0
Little Inferno,Tomorrow Corporation,,,,,16th Mar 17,17,2017-03-16,2017-03-16,1356.0
Little Nightmares 2,Bandai Namco Entertainment,,,,,11th Feb 21,21,2021-02-11,2021-02-11,-72.0
Little Town Hero,NIS America,,,,,23rd Jun 20,20,2020-06-23,2020-06-23,161.0
Little Triangle,KONANDENKI,,,,,01st Mar 18,18,2018-03-01,2018-03-01,1006.0
Lode Runner Legacy,Unknown,,,,,,,,,
Lost in Random,Unknown,,,,,,,,,
Lost Wing,2Awesome Studio,,,,,31st Jul 20,20,2020-07-31,2020-07-31,123.0
Lovers in a Dangerous Spacetime,Asteroid Base,,,,,03rd Oct 17,17,2017-10-03,2017-10-03,1155.0
Lumines Remastered,Enhance,,,,,01st May 18,18,2018-05-01,2018-05-01,945.0
Lyrica,RNOVA Studio,,,,,28th Mar 19,19,2019-03-28,2019-03-28,614.0
Mad Carnage,QubicGames,,,,,02nd Feb 18,18,2018-02-02,2018-02-02,1033.0
Mad Rat Dead,NIS America,,,,,30th Oct 20,20,2020-10-30,2020-10-30,32.0
Mages of Mystralia Read the review,Borealys Games,5.0,,7.0,,29th Jan 19,19,2019-01-29,2019-01-29,672.0
MagiCat Read the review,Unknown,7.0,,,,,,,,
Maison de Maou,Unknown,,,,,,,,,
Maneater,Tripwire Interactive,,,,,22nd Dec 20,20,2020-12-22,2020-12-22,-21.0
Manticore: Galaxy on Fire,Unknown,,,,,,,,,
Mantis Burn Racing,Unknown,,,,,,,,,
Maria The Witch,Naps Team,,,,,09th Nov 17,17,2017-11-09,2017-11-09,1118.0
Mario & Sonic at the Tokyo 2020 Olympic Games Read the review,Sega,7.0,,,,05th Nov 19,19,2019-11-05,2019-11-05,392.0
Mario Kart Live: Home Circuit,Nintendo,,,,,16th Oct 20,20,2020-10-16,2020-10-16,46.0
Mark of the Ninja: Remastered,Klei Entertainment,,,,,09th Oct 18,18,2018-10-09,2018-10-09,784.0
Mars or Die!,34BigThings srl,,,,,18th Jan 19,19,2019-01-18,2019-01-18,683.0
Mary Skelter 2,Idea Factory International,,,,,22nd Oct 19,19,2019-10-22,2019-10-22,406.0
Mecho Tales,Arcade Distillery,,,,,14th Dec 17,17,2017-12-14,2017-12-14,1083.0
Mechstermination Force Read the review,Unknown,7.0,,,,,,,,
Mega Man Zero/ZX Legacy Collection,Capcom,,,,,25th Feb 20,20,2020-02-25,2020-02-25,280.0
Membrane,Perfect Hat,,,,,22nd Feb 18,18,2018-02-22,2018-02-22,1013.0
Memories Off: Innocent Fille for Dearest,5pb,,,,,28th Mar 19,19,2019-03-28,2019-03-28,614.0
Memorrha,StickyStoneStudio,,,,,23rd Sep 19,19,2019-09-23,2019-09-23,435.0
Mercenaries Wings: The False Phoenix,Unknown,,,,,,,,,
Mercenary Kings Reloaded,Tribute Games,,,,,06th Feb 18,18,2018-02-06,2018-02-06,1029.0
Mesmer,Unknown,,,,,,,,,
Metal Max Xeno: Reborn,Kadokawa Games,,,,,10th Sep 20,20,2020-09-10,2020-09-10,82.0
Metal Max Xeno: Reborn 2,Unknown,,,,,,,,,
Metal!,DMM Games,,,,,08th Feb 18,18,2018-02-08,2018-02-08,1027.0
METRO Redux,Deep Silver,,,,,28th Feb 20,20,2020-02-28,2020-02-28,277.0
Metropolis: Lux Obscura,Sometimes You,,,,,04th Apr 18,18,2018-04-04,2018-04-04,972.0
MicroMan,Glob Games Studio,,,,,01st Dec 21,21,2021-12-01,2021-12-01,-365.0
Midnight Deluxe,Unknown,,,7.0,,,,,,
Mighty Fight Federation,"Komi Games, Inc",,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
Mighty Switch Force! Collection,Unknown,,,,,,,,,
Millie,Forever Entertainment S.A.,,,,,15th Feb 18,18,2018-02-15,2018-02-15,1020.0
Minecraft: Dungeons,Microsoft Game Studios,,,,,26th May 20,20,2020-05-26,2020-05-26,189.0
Mineko's Night Market,Humble Bundle,,,,,30th Dec 20,20,2020-12-30,2020-12-30,-29.0
Minna no Doubutsu Shogi,Silver Star Japan,,,,,23rd May 19,19,2019-05-23,2019-05-23,558.0
Minoria,DANGEN Entertainment,,,,,01st Dec 19,19,2019-12-01,2019-12-01,366.0
Minute of Islands,Mixtvision,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
MO:Astray Read the review,Unknown,7.0,,,,,,,,
Mom Hid My Game!,Kemco,,,,,21st Dec 17,17,2017-12-21,2017-12-21,1076.0
Momodora Reverie Under the Moonlight,Unknown,,,,,,,,,
Monster Energy Supercross - The Official Videogame 2,Milestone S.r.l.,,,,,08th Feb 19,19,2019-02-08,2019-02-08,662.0
Monster Hunter Rise,Capcom,,,,,26th Mar 21,21,2021-03-26,2021-03-26,-115.0
Monster Hunter Stories 2: Wings of Ruin,Capcom,,,,,01st Jul 21,21,2021-07-01,2021-07-01,-212.0
Monster Slayers Read the review,Unknown,6.0,,,,,,,,
Monstrum,Soedesco,,,,,22nd May 20,20,2020-05-22,2020-05-22,193.0
Moon Hunters,Kitfox Games,,,,,26th Oct 17,17,2017-10-26,2017-10-26,1132.0
Moon: Remix RPG Adventure,Onion Games,,,,,27th Aug 20,20,2020-08-27,2020-08-27,96.0
Moorhuhn Knights & Castles,Young Fun Studio,,,,,11th Jan 18,18,2018-01-11,2018-01-11,1055.0
Morphies Law,Unknown,,,,,,,,,
Morphite,Level 77,,,,,02nd Nov 17,17,2017-11-02,2017-11-02,1125.0
Mortal Kombat 11,Warner Bros. Interactive Entertainment,,,,,23rd Apr 19,19,2019-04-23,2019-04-23,588.0
Mortal Kombat 11: Aftermath,Unknown,,,,,,,,,
Mosaic,Raw Fury,,,,,23rd Jan 20,20,2020-01-23,2020-01-23,313.0
MotoGP 18,Milestone S.r.l.,,,,,28th Jun 18,18,2018-06-28,2018-06-28,887.0
MotoGP 19,Milestone S.r.l.,,,,,27th Jun 19,19,2019-06-27,2019-06-27,523.0
MotoGP 20,Milestone S.r.l.,,,,,23rd Apr 20,20,2020-04-23,2020-04-23,222.0
Moujuutsukai to Oujisama: Flower & Snow,Idea Factory,,,,,30th May 19,19,2019-05-30,2019-05-30,551.0
Moving Out,Team 17,,,,,28th Apr 20,20,2020-04-28,2020-04-28,217.0
Mr. Driller Drill Land,Bandai Namco Entertainment,,,,,25th Jun 20,20,2020-06-25,2020-06-25,159.0
Mr. Shifty,TinyBuild Games,,,,,13th Apr 17,17,2017-04-13,2017-04-13,1328.0
MUJO,Oink Games,,,,,30th Nov 17,17,2017-11-30,2017-11-30,1097.0
Mulaka,Lienzo,,,7.6,,01st Mar 18,18,2018-03-01,2018-03-01,1006.0
Munchkin: Quacked Quest,Asmodee Digital,,,,,19th Nov 19,19,2019-11-19,2019-11-19,378.0
Murder Detective: Jack the Ripper,Nippon Ichi Software,,,,,25th Apr 19,19,2019-04-25,2019-04-25,586.0
Mutant Mudds Collection,Atooi,,,,,14th Dec 17,17,2017-12-14,2017-12-14,1083.0
Mutant Year Zero: Road to Eden Deluxe Edition Read the review,Funcom,6.0,,,,04th Dec 18,18,2018-12-04,2018-12-04,728.0
Mutant Year Zero: Seed of Evil,Unknown,,,,,,,,,
MX vs. ATV All Out,THQ Nordic,,,,,01st Sep 20,20,2020-09-01,2020-09-01,91.0
My Aunt is a Witch,Unknown,,,,,,,,,
My Big Sister,Ratalaika Games,,,,,10th May 19,19,2019-05-10,2019-05-10,571.0
My Brother Rabbit,Unknown,,,9.0,,,,,,
My Friend Pedro,Devolver Digital,,,,,20th Jun 19,19,2019-06-20,2019-06-20,530.0
My Girlfriend is a Mermaid!?,Sekai Project,,,,,28th Feb 19,19,2019-02-28,2019-02-28,642.0
My Hero One’s Justice 2,Bandai Namco Entertainment,,,,,13th Mar 20,20,2020-03-13,2020-03-13,263.0
My Little Riding Champion,Maximum Games,,,,,29th Jan 19,19,2019-01-29,2019-01-29,672.0
My Memory of Us,IMGN PRO,,,,,24th Jan 19,19,2019-01-24,2019-01-24,677.0
My Time At Portia,Team 17,,,,,16th Apr 19,19,2019-04-16,2019-04-16,595.0
N.E.R.O.: Nothing Ever Remains Obscure,Unknown,,,,,,,,,
N1RV Ann-A,Unknown,,,,,,,,,
Naruto Shippuden Ultimate Ninja Storm 4: Road to Boruto,Bandai Namco Entertainment,,,,,24th Apr 20,20,2020-04-24,2020-04-24,221.0
NBA 2K20,2K Sports,,,,,06th Sep 19,19,2019-09-06,2019-09-06,452.0
NBA 2K21,2K Sports,,,,,04th Sep 20,20,2020-09-04,2020-09-04,88.0
NBA Playgrounds,Saber Interactive,,,,,04th Jan 18,18,2018-01-04,2018-01-04,1062.0
Necrobarista,Unknown,,,,,,,,,
Need a Packet?,Marginal act,,,,,24th Jul 20,20,2020-07-24,2020-07-24,130.0
Nefarious,Digerati,,,7.0,,13th Sep 18,18,2018-09-13,2018-09-13,810.0
Nekopara,Sekai Project,,,,,30th Dec 18,18,2018-12-30,2018-12-30,702.0
